playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
arteahu01,2019,1,KCA,AL,P,1,0,5,0,1,0,0,,,,,
arteahu01,2019,1,KCA,AL,SS,36,31,859,42,78,3,13,,,,,
astudwi01,2019,1,MIN,AL,1B,15,11,309,88,6,0,5,,,,,
astudwi01,2019,1,MIN,AL,2B,2,1,36,3,6,0,3,,,,,
astudwi01,2019,1,MIN,AL,3B,13,11,295,9,14,2,1,,,,,
astudwi01,2019,1,MIN,AL,C,21,17,475,159,10,0,2,0,,11,3,
astudwi01,2019,1,MIN,AL,OF,8,4,114,7,1,1,0,,,,,
austity01,2019,1,MIN,AL,1B,2,1,33,14,0,0,0,,,,,
austity01,2019,2,SFN,NL,1B,12,11,237,53,4,0,3,,,,,
austity01,2019,2,SFN,NL,OF,25,17,411,26,3,1,1,,,,,
austity01,2019,3,MIL,NL,1B,9,3,112,21,2,1,2,,,,,
aveliab01,2019,1,SFN,NL,OF,1,1,18,1,0,0,0,,,,,
aveliab01,2019,1,SFN,NL,SS,1,1,24,2,3,0,1,,,,,
avilaal01,2019,1,ARI,NL,C,54,49,1293,384,29,2,2,2,,10,11,
avilaal01,2019,1,ARI,NL,P,2,0,6,0,0,0,0,,,,,
avilalu01,2019,1,NYN,NL,P,45,0,96,4,3,0,0,,,,,
avilape01,2019,1,SDN,NL,P,1,1,16,1,0,0,0,,,,,
baderha01,2019,1,SLN,NL,OF,122,95,2729,239,8,4,4,,,,,
baezja01,2019,1,CHN,NL,3B,1,1,27,2,3,0,0,,,,,
baezja01,2019,1,CHN,NL,SS,129,128,3350,165,366,15,88,,,,,
baezmi01,2019,1,SDN,NL,P,24,1,89,4,3,0,0,,,,,
baezpe01,2019,1,LAN,NL,P,71,0,209,2,6,1,0,,,,,
baezsa01,2019,1,DET,AL,P,1,0,3,0,0,0,0,,,,,
baileho02,2019,1,KCA,AL,P,18,18,270,5,8,0,0,,,,,
baileho02,2019,2,OAK,AL,P,13,13,220,7,6,0,0,,,,,
bandaan01,2019,1,TBA,AL,P,3,0,12,0,0,0,0,,,,,
banuema01,2019,1,CHA,AL,P,16,8,152,2,1,1,1,,,,,
bardlu01,2019,1,LAA,AL,P,32,3,147,3,1,0,1,,,,,
barlosc01,2019,1,KCA,AL,P,61,0,211,1,6,0,0,,,,,
barneau01,2019,1,LAN,NL,2B,1,1,15,0,4,0,0,,,,,
barneau01,2019,1,LAN,NL,C,64,61,1574,554,12,6,1,2,,18,5,
barneja01,2019,1,MIL,NL,P,18,1,59,0,2,0,0,,,,,
barneja01,2019,2,KCA,AL,P,15,0,39,1,3,0,0,,,,,
barnema01,2019,1,BOS,AL,P,70,0,193,4,2,1,0,,,,,
barneto01,2019,1,CHN,NL,P,2,0,4,0,0,0,0,,,,,
barnhtu01,2019,1,CIN,NL,1B,3,0,27,12,1,0,2,,,,,
barnhtu01,2019,1,CIN,NL,C,102,87,2319,812,46,2,2,5,,41,12,
baronst01,2019,1,PIT,NL,C,5,2,53,12,0,2,0,0,,2,0,
barraky01,2019,1,WAS,NL,P,33,0,77,2,2,1,0,,,,,
barraky01,2019,2,SFN,NL,P,10,0,24,1,2,1,0,,,,,
barreaa01,2019,1,WAS,NL,P,3,0,7,0,0,0,0,,,,,
barrefr02,2019,1,OAK,AL,2B,17,14,371,18,40,4,5,,,,,
barrefr02,2019,1,OAK,AL,SS,5,0,69,2,6,1,3,,,,,
barreja01,2019,1,NYA,AL,P,2,0,11,0,0,0,0,,,,,
barretr01,2019,1,WAS,NL,C,1,0,6,0,0,0,0,0,,0,0,
barrija01,2019,1,LAA,AL,P,19,13,248,4,4,0,0,,,,,
bashlty01,2019,1,NYN,NL,P,24,0,66,0,0,0,0,,,,,
bassan01,2019,1,SEA,AL,P,44,0,144,5,6,0,1,,,,,
bassich01,2019,1,OAK,AL,P,28,25,432,5,14,0,3,,,,,
bauerja01,2019,1,CLE,AL,1B,31,22,639,184,8,2,13,,,,,
bauerja01,2019,1,CLE,AL,OF,53,49,1213,79,3,1,0,,,,,
bauertr01,2019,1,CLE,AL,P,24,24,470,5,13,0,1,,,,,
bauertr01,2019,2,CIN,NL,P,10,10,169,7,2,0,0,,,,,
bautige01,2019,1,SEA,AL,P,8,2,27,0,0,0,0,,,,,
beatyma01,2019,1,LAN,NL,1B,35,21,615,197,19,3,15,,,,,
beatyma01,2019,1,LAN,NL,3B,9,7,174,4,7,0,1,,,,,
beatyma01,2019,1,LAN,NL,OF,35,27,731,46,1,0,0,,,,,
beckhgo01,2019,1,DET,AL,1B,4,1,36,11,0,0,0,,,,,
beckhgo01,2019,1,DET,AL,2B,39,34,935,50,81,1,21,,,,,
beckhgo01,2019,1,DET,AL,3B,5,5,132,5,5,1,0,,,,,
beckhgo01,2019,1,DET,AL,SS,18,16,454,23,46,3,10,,,,,
beckhti01,2019,1,SEA,AL,1B,5,4,108,35,0,0,2,,,,,
beckhti01,2019,1,SEA,AL,2B,8,8,201,15,18,2,3,,,,,
beckhti01,2019,1,SEA,AL,3B,10,9,232,7,15,0,2,,,,,
beckhti01,2019,1,SEA,AL,OF,13,12,273,10,2,0,1,,,,,
beckhti01,2019,1,SEA,AL,SS,41,39,1033,60,104,12,25,,,,,
bednada01,2019,1,SDN,NL,P,13,0,33,1,1,0,1,,,,,
bedroca01,2019,1,LAA,AL,P,59,7,184,5,6,0,0,,,,,
beedety01,2019,1,SFN,NL,P,24,22,351,6,11,1,3,,,,,
beeksja01,2019,1,TBA,AL,P,33,3,313,2,14,0,2,,,,,
bellico01,2019,1,LAN,NL,1B,36,28,690,209,9,1,21,,,,,
bellico01,2019,1,LAN,NL,OF,136,123,3246,240,10,3,1,,,,,
belljo02,2019,1,PIT,NL,1B,134,133,3482,981,96,13,91,,,,,
beltbr01,2019,1,SFN,NL,1B,144,123,3466,1017,99,6,108,,,,,
beltbr01,2019,1,SFN,NL,OF,15,11,249,15,2,1,0,,,,,
bemboan01,2019,1,TBA,AL,C,3,2,48,26,0,0,0,2,,0,0,
bemboan01,2019,2,LAA,AL,C,22,15,415,136,7,0,0,2,,7,6,
beninan01,2019,1,BOS,AL,OF,136,134,3581,182,9,2,3,,,,,
bergetr01,2019,1,SFN,NL,P,21,0,59,1,1,0,0,,,,,
berrijo01,2019,1,MIN,AL,P,32,32,601,12,19,1,0,,,,,
bertijo01,2019,1,MIA,NL,3B,20,15,401,4,30,0,2,,,,,
bertijo01,2019,1,MIA,NL,OF,28,19,549,46,1,1,0,,,,,
bertijo01,2019,1,MIA,NL,SS,32,26,725,43,62,2,16,,,,,
betande01,2019,1,NYA,AL,P,1,0,2,0,0,0,0,,,,,
bettich01,2019,1,COL,NL,P,39,3,191,7,13,1,2,,,,,
bettsmo01,2019,1,BOS,AL,OF,143,142,3820,320,10,2,0,,,,,
biagijo01,2019,1,TOR,AL,P,50,0,150,0,6,2,0,,,,,
biagijo01,2019,2,HOU,AL,P,13,0,44,0,0,0,0,,,,,
bichebo01,2019,1,TOR,AL,SS,42,42,1085,58,106,7,23,,,,,
biddlje01,2019,1,ATL,NL,P,15,0,35,1,1,1,0,,,,,
biddlje01,2019,2,SEA,AL,P,11,0,33,0,0,2,0,,,,,
